date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-02-03,sh.600000,10.2200,10.6900,10.2200,10.4700,11.3500,95367382,997686058.0000,3,0.339300,1,-7.753300,0
2020-02-04,sh.600000,10.5100,10.7400,10.4800,10.6600,10.4700,66783767,710434836.0000,3,0.237600,1,1.814700,0
2020-02-05,sh.600000,10.6900,10.7800,10.5800,10.7000,10.6600,45046658,481639081.0000,3,0.160300,1,0.375200,0
2020-02-06,sh.600000,10.8100,10.8600,10.6500,10.7900,10.7000,38023801,408101901.0000,3,0.135300,1,0.841100,0
2020-02-07,sh.600000,10.7300,10.9100,10.6700,10.8600,10.7900,31896956,342581621.0000,3,0.113500,1,0.648700,0
2020-02-10,sh.600000,10.7600,10.8400,10.7100,10.7700,10.8600,34032121,366391170.0000,3,0.121100,1,-0.828700,0
2020-02-11,sh.600000,10.8200,10.9500,10.7800,10.8600,10.7700,34856302,378583345.0000,3,0.124000,1,0.835600,0
2020-02-12,sh.600000,10.8400,10.8800,10.7600,10.8600,10.8600,26313927,284693716.0000,3,0.093600,1,0.000000,0
2020-02-13,sh.600000,10.8200,10.8800,10.7600,10.7600,10.8600,22630613,244794981.0000,3,0.080500,1,-0.920800,0
2020-02-14,sh.600000,10.7600,10.8800,10.7400,10.8600,10.7600,22360549,242102421.0000,3,0.079600,1,0.929400,0
2020-02-17,sh.600000,10.8800,11.2100,10.8600,11.1800,10.8600,41343320,457641227.0000,3,0.147100,1,2.946600,0
2020-02-18,sh.600000,11.0900,11.1800,11.0400,11.0600,11.1800,30162703,334474238.0000,3,0.107300,1,-1.073300,0
2020-02-19,sh.600000,11.0800,11.2400,11.0400,11.1100,11.0600,25100157,279375283.0000,3,0.089300,1,0.452100,0
2020-02-20,sh.600000,11.1700,11.2700,11.0600,11.2300,11.1100,36656416,408938116.0000,3,0.130400,1,1.080100,0
2020-02-21,sh.600000,11.2300,11.3900,11.2100,11.3000,11.2300,38949418,439706991.0000,3,0.138600,1,0.623300,0
